Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
1.35,99.87,NOAA19,7:40:53 AM,20160623,ASMC,SUMATERA UTARA,PADANG LAWAS,BARUMUN TENGAH,PADANG GARUGUR JAE,
-3.03,104.9,NOAA19,7:40:53 AM,20160623,ASMC,SUMATERA SELATAN,BANYUASIN,RAMBUTAN,MENTEN,
-5.11,104.17,NOAA19,7:40:53 AM,20160623,ASMC,LAMPUNG,LAMPUNG BARAT,BATU BRAK,PEKON BALAK,TN BUKIT BARISAN SELATAN
-3.37,102.74,NOAA19,7:40:53 AM,20160623,ASMC,BENGKULU,REJANGLEBONG,PADANG ULAK TANDING,HUTAN,
-2.94,103.655,NOAA19,7:40:53 AM,20160623,ASMC,SUMATERA SELATAN,MUSIBANYUASIN,BABAT TOMAN,BUMI AYU,
-2.89,101.56,NOAA19,7:40:53 AM,20160623,ASMC,BENGKULU,MUKO-MUKO,PUTRI HIJAU,HUTAN,
-1.25,101.42,NOAA19,7:40:53 AM,20160623,ASMC,SUMATERA BARAT,SOLOK SELATAN,SANGIR BATANGHARI,KURNIA MAJU,
-1.16,102.75,NOAA19,7:40:53 AM,20160623,ASMC,JAMBI,TANJUNGJABUNG BARAT,MERLUNG,SUNGAI ROTAN,
-0.89,101.71,NOAA19,7:40:53 AM,20160623,ASMC,SUMATERA BARAT,DHARMASRAYA,KUANTAN MUDIK,SUNGAI BESAR,
1.15,99.845,NOAA19,7:40:53 AM,20160623,ASMC,SUMATERA UTARA,PADANG LAWAS,BARUMUN,HUTA NOPAN,
1.33,99.91,NOAA19,7:40:53 AM,20160623,ASMC,SUMATERA UTARA,PADANG LAWAS,BARUMUN TENGAH,AEK NABARA TONGA,
-3.3,102.36,NOAA19,7:40:53 AM,20160623,ASMC,BENGKULU,LEBONG,RIMBO PENGADANG,HUTAN,
-3.28,102.16,NOAA19,7:40:53 AM,20160623,ASMC,BENGKULU,BENGKULU UTARA,PADANG JAYA,SIDO MUKTI,
-3.17,104.47,NOAA19,7:40:53 AM,20160623,ASMC,SUMATERA SELATAN,MUARAENIM,GELUMBANG,GEDUNG BURUK,
-3.14,104.485,NOAA19,7:26:23 AM,20160624,ASMC,SUMATERA SELATAN,MUARAENIM,GELUMBANG,GEDUNG BURUK,
0.72,110.1,NOAA19,7:26:23 AM,20160624,ASMC,KALIMANTAN BARAT,LANDAK,KUALA BEHE,PAKU RAYA,
-4.64,104.89,NOAA19,7:26:23 AM,20160624,ASMC,LAMPUNG,LAMPUNG UTARA,BUNGA MAYANG,HADUYANG RATU,
-3.17,104.09,NOAA19,7:26:23 AM,20160624,ASMC,SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,PENUKAL,GUNUNG MENANG,
-8.03,111.705,NOAA19,7:26:23 AM,20160624,ASMC,JAWA TIMUR,TRENGGALEK,,,
-8.29,113.31,NOAA19,7:26:23 AM,20160624,ASMC,JAWA TIMUR,LUMAJANG,,,
-8.255,113.19,NOAA19,7:26:23 AM,20160624,ASMC,JAWA TIMUR,LUMAJANG,,,
1.322,99.86,NOAA19,7:04:03 AM,20160626,ASMC,SUMATERA UTARA,PADANG LAWAS,BARUMUN TENGAH,TANJUNG,
-3.23,103.96,NOAA19,7:04:03 AM,20160626,ASMC,SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,TALANG UBI,SUKAMAJU,
-0.3,110.1,NOAA19,7:04:03 AM,20160626,ASMC,KALIMANTAN BARAT,SANGGAU,TOBA,SANSAT,
0.63,117.44,NOAA19,7:04:03 AM,20160626,ASMC,KALIMANTAN TIMUR,KUTAI TIMUR,SENGATTA,MARGO MULYO,
-3.14,112.705,NOAA19,6:31:11 AM,20160629,ASMC,KALIMANTAN TENGAH,SERUYAN,SERUYAN HILIR,PEMATANG PANJANG,
-1.6,113.23,NOAA19,6:31:11 AM,20160629,ASMC,KALIMANTAN TENGAH,KATINGAN,PULAU MALAN,TUMBANG BANJANG,
4.08,97.34,NOAA19,8:10:41 AM,20160629,ASMC,ACEH,GAYOLUES,PINDING,GAJAH,
